newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM50SCR89f7c3f9391246ebaed6c3212f69c6ea,6e-06,0.312035,0.232018,0.201773,0.19269
CC11CM53SCR04b715ca63624715b411421ac390de7a,5e-06,0.099829,0.099757,0.130492,0.271933
CC11CM73SCRc35be8e8830b4ec39f5b3d6bcea353b3,6e-06,9e-06,0.141798,0.120516,0.260624
CC11CM19SCR9d61f43ff1b44e5eab3150bb3ed09e45,5e-06,0.099829,0.099757,0.130492,0.271933
CC11CM24SCR0ae8292f7143422696c7a6a3bbc3d5c5,9e-06,1e-05,0.21874,0.198498,0.294593
CC11CM51SCRe8d8c85e05304792890e05cac4ac9ab0,0.034495,0.066301,8e-06,0.129476,0.242488
CC11CM21SCRf7549ee8d6144860a0010e255e3709f8,0.063715,0.084254,0.127861,0.157395,0.24792
CC11CM67SCR85d9dffde565415e8e977dc05f45b1fe,6e-06,7.000000000000002e-06,0.070827,0.278968,0.21922
CC11CM48SCRd45b44d3fbb34c1291d6114553fce1e1,8e-06,0.112065,0.070325,0.078696,0.033437
CC11CM94SCR290a4ed6e16b420f9980f08e9f25d978,7.000000000000002e-06,0.061038,0.019634,0.068713,0.168754
CC11CM0SCR4220806246c9445f9abbf3606a5a56a1,0.091582,0.081403,0.118819,0.313565,0.274327
CC11CM48SCRb23bf84827a041738fdf08d529e53f0e,8e-06,0.211817,0.32391,0.285484,0.152062
CC11CM23SCRbeb5f205f0304db0a093a3544a1d49a7,1e-06,1e-06,1e-05,0.01707,0.06067
CC11CM36SCR7361b81dff1c409e928e0e7940bcea57,6e-06,0.068897,0.13889400000000002,0.13003299999999998,0.262889
CC11CM8SCR00ab6dc11daf479888e8314274bcfa24,9e-06,0.0679,0.092758,0.056634,0.07687000000000001
CC11CM57SCR0036499df8944b7c81904be8c08ad77e,8e-06,0.32805500000000004,0.254203,0.187593,0.105525
CC11CM19SCR8eb3de99ffe949cd9bbb4a8d028bef1e,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679
CC11CM57SCRdf5d565c0f294c8c9ef748d999374b4c,0.098265,0.16885999999999998,0.398428,0.276239,0.126979
CC11CM54SCR92e508babe5b4056a5c2cc1d5540ba76,0.322536,0.251795,0.277094,0.218651,0.287244
CC11CM60SCR99a43e1774014ff59f8d6ede21703d92,0.006442,0.093559,0.192869,0.355149,0.077388
CC11CM51SCR7e23a8ca512c4eccb065ffa9fd82517e,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM54SCRdc1d6c1b69c6475eab2af2d59d32314e,9e-06,7.000000000000002e-06,0.306925,0.245826,0.218715
CC11CM54SCR30c0e15b340845a08992a838e781738b,5e-06,5e-06,0.05655,0.066633,0.238276
CC11CM24SCR99093ff601934fff8fdfd5828ba9829d,7.000000000000002e-06,1e-05,0.039924,0.151334,0.034334
CC11CM52SCR114dd08f0b6749669079a4cb88ef8b78,0.112508,0.094938,0.117225,0.141594,0.249015
CC11CM19SCRdb84b6f16bed4f8fa75d5b52d9edd888,9e-06,0.01994,5e-06,0.034414,0.055699
CC11CM65SCR1f13dd45a096463ca3ff5a5041e9467a,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM39SCR691f87fdfc28413e99877981660eadbd,9e-06,0.053624,0.104113,0.157021,0.257075
CC11CM84SCR975175a402d24b618493d762a06d1603,0.047255,0.026866,0.071277,0.038166000000000005,0.075971
CC11CM24SCRe9041b9364334e728bbb393d60006208,8e-06,7.000000000000002e-06,0.014621,0.240661,0.127692
CC11CM86SCRe53c27c4c58a460484f677decefa3d3c,6e-06,8e-06,9e-06,0.120402,0.090012
CC11CM60SCRa0621790d16c4471a2874f77c5e1d1fb,6e-06,7.000000000000002e-06,8e-06,0.147561,0.200836
CC11CM30SCRaf040f9f939843ff931d703a73640624,8e-06,0.112065,0.070325,0.078696,0.033437
CC11CM73SCR6cf13678f0de4ed9ad5426b44497290a,0.342037,0.335845,0.423144,0.189272,0.145885
CC11CM56SCRfdd8a753d168415cabda218dbc0bebcc,1e-06,6e-06,8e-06,0.130732,0.241839
CC11CM49SCR21348a597412439fa272f9ebe06af8e7,1e-05,0.072351,6e-06,0.164184,0.121293
CC11CM38SCRbbc53b30baa7462a847a2199cc29e52f,0.02442,0.017356,8e-06,0.146922,0.201221
CC11CM92SCR6dc4957d740044bca20c399c903a186a,0.342037,0.335845,0.423144,0.189272,0.145885
CC11CM65SCR6295a187c9004238ae02f72d3ece05ad,1e-06,9e-06,6e-06,0.289163,0.155203
CC11CM97SCR7aaa4eb4fe174081ab3732736a49eafb,8e-06,0.24622800000000006,0.13231600000000002,0.121247,0.03057
CC11CM85SCRbef6bcc3fc5e485daf1c07c9e0949760,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679
CC11CM27SCRec40f540881a45ff81d0f24126fbe424,7.000000000000002e-06,6e-06,0.126795,0.186934,0.267457
CC11CM51SCR505f851520d14d20b8a31a3ac22c0f1b,1e-06,1e-06,1e-05,0.01707,0.06067
CC11CM79SCRcd4688bef25b404284dc0281d553340d,8e-06,0.112065,0.070325,0.078696,0.033437
CC11CM57SCR5e620feb03b646b79a1f3af309037466,6e-06,0.068897,0.13889400000000002,0.13003299999999998,0.262889
CC11CM98SCRf4d364045bd94983b6c3636d2e266e9d,6e-06,7.000000000000002e-06,8e-06,0.147561,0.200836
CC11CM11SCR3768da72e88c4308ac3fbb92fb322797,8e-06,0.32805500000000004,0.254203,0.187593,0.105525
CC11CM22SCRd1cb0c0f582f44289d75a5402db01e1c,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM12SCR5e3d551e7ecf4d4e9ef7908e1a0b3892,7.000000000000002e-06,0.137668,0.021522,0.155496,0.204297
CC11CM4SCRa84f9f1ee7fa4700a90bbe732a3a93c2,0.02442,0.017356,8e-06,0.146922,0.201221
CC11CM74SCR32189c9dde3241ae9e7dba8bac38ca86,6e-06,7.000000000000002e-06,8e-06,0.147561,0.200836
CC11CM51SCR6dd93a3b75fc4f59b58981e7bda33459,9e-06,8e-06,6e-06,0.065152,8e-06
